MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter,Gemiddeld aantal telwielen
,GAS Liander,,Binnenkant,1011BK,1011BK,AMSTERDAM,NL,GAS,KVB,14,1.0,0.9286,1.0,0.86,G4,1483,0.0,0.1429,
,Liander N.V. (NW),,Binnenkant,1011BL,1011BM,AMSTERDAM,NL,ELK,KVB,23,1.0,0.9565,1.0,0.87,1x35,2020,0.3043,0.21739999999999998,1.2
,GAS Liander,,Binnenkant,1011BL,1011BM,AMSTERDAM,NL,GAS,KVB,20,1.0,1.0,1.0,0.85,G4,1323,0.0,0.2,
Liander N.V.,Liander N.V. (NW),,Binnenkant,1011BN,1011BN,AMSTERDAM,NL,ELK,KVB,21,1.0,0.7143,1.0,0.67,3x25,2882,0.1905,0.1905,1
,GAS Liander,,Binnenkant,1011BN,1011BN,AMSTERDAM,NL,GAS,KVB,15,1.0,0.8667,1.0,0.73,G4,1505,0.0,0.2667,
Liander N.V.,Liander N.V. (NW),,Binnenkant,1011BP,1011BP,AMSTERDAM,NL,ELK,KVB,18,1.0,0.8889,1.0,0.78,3x25,2643,0.16670000000000001,0.0556,1.4
Liander N.V.,GAS Liander,,Binnenkant,1011BP,1011BP,AMSTERDAM,NL,GAS,KVB,15,1.0,0.9333,1.0,0.87,G4,2683,0.0,0.0667,
,Liander N.V. (NW),,Binnenkant,1011BR,1011BR,AMSTERDAM,NL,ELK,KVB,15,1.0,1.0,1.0,0.67,1x35,1794,0.2667,0.2,1.2
,GAS Liander,,Binnenkant,1011BR,1011BR,AMSTERDAM,NL,GAS,KVB,11,1.0,1.0,1.0,1.0,G4,1453,0.0,0.1818,
Liander N.V.,Liander N.V. (NW),,Kromme Waal,1011BS,1011BS,AMSTERDAM,NL,ELK,KVB,32,1.0,0.7813,1.0,0.59,3x25,2948,0.5625,0.5313,1.3
