volgnr,lat,lon,label
155,52.40177,4.919512,4
156,52.342366,4.804578,4
157,52.361451,4.935322,4
158,52.359344,4.992242,4
159,52.360501,4.826492,4
160,52.367039,4.937144,3
161,52.34989,4.814195,4
162,52.328691,4.979825,4
163,52.380482,4.858228,6
164,52.341939,4.865481,4
165,52.314212,4.977318,4
166,52.3213,4.94387,4
167,52.343199,4.917237,72
168,52.378914,4.79276,4
169,52.408094,4.894286,4
170,52.382746,4.795323,4
171,52.359502,4.990934,3
172,52.402267,4.920109,4
173,52.370982,4.94358,4
174,52.415947,4.88291,4
175,52.362188,4.977404,4
176,52.34953,4.913692,7
177,52.400944,4.912718,4
178,52.347922,4.953966,8
179,52.410419,4.902226,4
180,52.364461,4.942279,4
181,52.320449,4.961977,4
182,52.361021,4.82446,4
183,52.343728,4.801918,4
184,52.349792,4.879273,4
185,52.324727,4.985098,4
186,52.36502,4.835655,12
187,52.350307,4.816802,4
188,52.323907,4.984474,4
189,52.364137,4.942209,4
190,52.347816,4.79438,4
191,52.357393,4.895891,1
192,52.374616,4.821865,4
193,52.423117,4.899749,4
194,52.300405,4.992618,4
195,52.352323,4.779319,4
196,52.346926,4.808921,4
197,52.353836,4.941887,4
198,52.410233,4.903021,4
199,52.407017,4.930464,4
200,52.401893,4.918732,4
201,52.350775,4.80573,4
202,52.407421,4.912149,11
203,52.410481,4.906531,4
204,52.377582,4.766226,4
205,52.356268,4.773922,10
206,52.319342,4.966549,4
207,52.389766,4.9437,4
208,52.32147,4.943707,4
209,52.360288,4.981443,4
210,52.351411,4.861098,4
211,52.358443,4.924504,4
212,52.359135,4.99148,4
213,52.361753,4.929652,4
214,52.353097,4.81568,4
215,52.360141,4.85182,4
216,52.409471,4.930644,4
217,52.358375,4.854733,8
218,52.347784,4.889143,4
219,52.41715,4.897698,4
220,52.349756,4.879449,4
221,52.348913,4.782022,4
222,52.34832,4.91008,4
223,52.367852,4.832082,4
224,52.368153,4.831065,4
225,52.34804,4.819942,4
226,52.300382,4.996445,4
227,52.339187,4.898777,4
228,52.382332,4.870103,4
229,52.346672,5.008938,4
230,52.350722,4.895363,4
231,52.353834,4.941167,4
232,52.353604,4.778553,4
233,52.325437,4.982363,4
234,52.350667,4.855559,4
235,52.407092,4.929037,4
236,52.346556,4.801382,4
237,52.393343,4.854035,75
238,52.374209,4.946264,4
239,52.323398,4.964633,4
240,52.388239,4.883063,4
241,52.353285,4.788215,4
242,52.421703,4.903499,4
243,52.351958,4.995434,4
244,52.378651,4.792279,4
245,52.353529,4.860501,4
246,52.357632,4.921709,4
247,52.352087,4.780658,4
248,52.420968,4.895201,4
249,52.374507,4.821499,4
250,52.355103,4.801299,4
251,52.379253,4.792286,4
252,52.355277,4.843497,4
253,52.339403,4.894461,4
254,52.351234,5.002089,4
255,52.35239,4.875368,4
256,52.353125,4.815827,4
257,52.34433,4.947397,4
258,52.354113,4.80275,7
259,52.315534,4.969973,4
260,52.378906,4.869673,4
261,52.371789,4.950473,4
262,52.358013,4.917947,4
263,52.383248,4.817011,4
264,52.372284,4.811674,4
265,52.351527,4.995408,4
266,52.319525,4.962353,4
267,52.343743,4.875086,4
268,52.355503,4.926472,4
269,52.360535,4.980208,4
270,52.386946,4.949134,4
271,52.350556,4.799685,4
272,52.353054,4.797627,4
273,52.351522,4.869933,9
274,52.351099,4.7737,4
275,52.397759,4.954302,4
276,52.304271,4.96439,4
277,52.367802,4.832949,4
278,52.34779,4.869521,4
279,52.387217,4.949308,4
280,52.380147,4.857703,3
281,52.351403,4.771773,4
282,52.345237,4.792668,4
283,52.34414,4.81446,4
284,52.423362,4.891573,4
285,52.38378,4.902194,7
286,52.322972,4.951422,4
287,52.349538,4.781353,4
288,52.34448,4.810479,4
289,52.357038,4.988035,4
290,52.395466,4.764081,6
291,52.402402,4.92024,4
292,52.323901,4.884042,4
293,52.33981,4.926385,1
294,52.347668,4.808148,4
295,52.318678,4.982278,4
296,52.347271,4.924356,4
297,52.360274,4.993437,4
298,52.354655,4.995659,4
299,52.409258,4.917376,4
300,52.361286,4.943926,4
301,52.352378,4.813825,4
302,52.354592,4.819962,4
303,52.352609,4.773708,4
304,52.34884,4.909869,4
305,52.390687,4.78727,7
306,52.407166,4.922659,4
307,52.327255,4.978004,4
308,52.362016,4.93511,4
309,52.353759,4.82053,4
310,52.303634,4.969645,4
311,52.371249,4.940493,4
312,52.303071,4.96811,4
313,52.354239,4.77963,4
314,52.36145,4.935072,4
315,52.356186,4.935859,4
316,52.351722,4.806495,4
317,52.353943,4.927486,4
318,52.31988,4.963713,4
319,52.381464,4.875136,4
320,52.347588,4.924881,4
321,52.374955,4.821332,4
322,52.35032,4.817462,4
323,52.352693,4.784847,4
324,52.327604,4.982593,4
325,52.407323,4.923568,4
326,52.322036,4.981191,4
327,52.378513,4.791782,4
328,52.376858,4.851721,4
329,52.411124,4.901013,4
330,52.395145,4.873582,5
331,52.388364,4.955848,4
332,52.387064,4.900836,6
333,52.327078,4.860403,4
334,52.352732,4.847036,4
335,52.410944,4.896679,4
