volgnr,lat,lon,label
1514,52.339319,4.93157,23760
1515,52.380551,4.829852,8880
1518,52.398003,4.852847,6720
1521,52.406151,4.911163,10080
1522,52.331288,4.875274,31440
1525,52.381936,4.908235,960
1533,52.346649,4.87561,1920
1545,52.401088,4.933155,6960
1554,52.344695,4.948553,27360
1565,52.361473,4.936129,10080
1566,52.39113,4.841677,14400
1568,52.395151,4.763894,7200
1581,52.346149,4.86185,2400
1594,52.329989,4.878267,46320
1597,52.419832,4.891921,17280
1602,52.29435,4.977134,42000
1605,52.353842,4.806012,44880
1607,52.37342,4.808429,0
1608,52.300075,4.944638,7440
1609,52.380371,4.857319,1920
1619,52.35588,4.935364,3840
1629,52.354688,4.997186,5520
1634,52.337695,4.927508,7920
1635,52.355839,4.832672,4320
1639,52.365753,4.838553,10080
1643,52.376705,4.853353,11520
1652,52.395152,4.76407,7200
1655,52.332657,4.914958,1920
1656,52.299889,4.940814,30240
1659,52.341647,4.866277,0
1660,52.352641,4.797618,2258
1661,52.381498,4.870186,1440
1669,52.415918,4.871813,200160
1671,52.365767,4.839537,10080
1676,52.385813,4.927303,15120
1682,52.38622,4.928004,4800
1689,52.351981,4.935917,3120
1690,52.395394,4.763979,7200
1695,52.35947,4.815569,9120
1703,52.322193,4.942306,2880
1717,52.395576,4.93731,14400
1727,52.381541,4.800274,4560
1731,52.416982,4.90477,20160
1732,52.422151,4.881237,38880
1733,52.348976,4.91882,104400
1734,52.397912,4.852746,13440
1738,52.381423,4.867631,9600
1748,52.348771,4.91712,2258
1750,52.340657,4.793198,2258
1752,52.354237,4.912967,54480
1753,52.40307,4.961098,44400
1767,52.35943,4.940084,8640
1772,52.39044,4.936334,1440
1775,52.308714,4.98033,66960
1780,52.380852,4.799094,4560
1784,52.35183,4.804395,2258
1789,52.346008,4.862571,1920
1790,52.378496,4.931565,1440
1799,52.32453,4.867122,1440
1807,52.394345,4.903062,6000
1818,52.340274,4.916006,720
1819,52.337253,4.872476,2400
1823,52.383462,4.859118,6480
1827,52.351073,4.869733,7680
1837,52.356414,4.978616,18960
1838,52.402633,4.905602,2258
1848,52.418174,4.798408,48000
1849,52.355853,4.877794,2880
1852,52.322564,4.942743,3360
1856,52.382064,4.856021,480
1859,52.394981,4.763985,4800
1869,52.365738,4.837291,10080
1872,52.380281,4.857188,3120
1885,52.410796,4.922018,16560
1894,52.352623,4.79753,2258
1896,52.358294,4.994937,4800
1902,52.380241,4.830869,8400
1908,52.381514,4.798586,4800
1909,52.321803,4.941283,3600
1918,52.367989,4.836118,1920
1919,52.390637,4.830313,2258
1920,52.380526,4.849797,1200
1923,52.362648,4.926295,28320
1925,52.402175,4.910309,720
1934,52.357788,4.931454,51600
1936,52.353338,4.910672,12480
1937,52.334715,4.851495,1440
1939,52.347742,5.008547,2640
1948,52.389791,4.77531,9600
1960,52.381422,4.849228,4800
1965,52.406325,4.909662,14880
