volgnr,lat,lon,kwp
292,52.34471,4.816991,2258
293,52.35353,4.860501,2258
294,52.342616,4.871944,2258
295,52.3794,4.857213,1680
296,52.357633,4.921709,5760
297,52.352088,4.780658,2258
298,52.420969,4.895201,2258
299,52.374508,4.821499,2258
300,52.355104,4.801299,2258
301,52.379254,4.792286,2258
302,52.355278,4.843497,2258
303,52.339404,4.894461,2258
304,52.351235,5.002089,2258
305,52.352391,4.875368,720
306,52.353126,4.815827,2258
307,52.344331,4.947397,2258
308,52.354114,4.80275,6960
309,52.352394,4.996545,2258
310,52.303899,5.019476,2258
311,52.315535,4.969973,2258
312,52.37179,4.950473,4320
313,52.358014,4.917947,2640
314,52.383249,4.817011,2258
315,52.41693,4.825573,5760
316,52.351808,4.809048,2258
317,52.372285,4.811674,2258
318,52.351528,4.995408,2258
319,52.319526,4.962353,2258
320,52.343744,4.875086,2258
321,52.317676,4.952926,2258
322,52.351242,4.782211,9120
323,52.348867,4.80866,2258
324,52.399973,4.959849,60000
325,52.355504,4.926472,1920
326,52.360536,4.980208,2258
327,52.386947,4.949134,2258
328,52.350557,4.799685,2258
329,52.353055,4.797627,2258
330,52.351523,4.869933,8880
331,52.3511,4.7737,2258
332,52.39776,4.954302,2258
333,52.344533,4.788363,3120
334,52.323401,4.872049,2258
335,52.352105,4.881888,4320
336,52.34531,4.789189,2880
337,52.304272,4.96439,2258
338,52.367803,4.832949,2258
339,52.387218,4.949308,2258
340,52.380148,4.857703,2640
341,52.352656,4.880532,4800
342,52.351404,4.771773,2258
343,52.345238,4.792668,2258
344,52.344141,4.81446,2258
345,52.423363,4.891573,2258
346,52.383781,4.902194,7440
347,52.322973,4.951422,2258
348,52.349539,4.781353,720
349,52.344481,4.810479,2258
350,52.357039,4.988035,2258
351,52.395467,4.764081,5520
352,52.402403,4.92024,2258
353,52.323902,4.884042,2258
354,52.339811,4.926385,1440
355,52.347669,4.808148,2258
356,52.351023,4.885306,1440
357,52.361604,4.825891,2258
358,52.318679,4.982278,2258
359,52.42174,4.896854,2258
360,52.323299,4.964356,2258
361,52.347272,4.924356,2258
362,52.360275,4.993437,2258
363,52.326268,4.863816,2258
364,52.354656,4.995659,2258
365,52.352097,4.880186,4800
366,52.409259,4.917376,2258
367,52.361287,4.943926,1200
368,52.355269,4.894975,720
