MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,"Aantal Aansluitingen",%Leveringsrichting,"%Fysieke status","%Defintieve aansl (NRM)","%Soort aansluiting","Soort aansluiting Naam",SJV,"%SJV laag tarief","%Slimme Meter","Gemiddeld aantal telwielen"
,"Liander N.V. (NW)",,Binnenkant,1011BR,1011BR,AMSTERDAM,NL,ELK,KVB,15,100,100,100,67,1x35,1765,20,13.33,1.2
,"GAS Liander",,Binnenkant,1011BR,1011BR,AMSTERDAM,NL,GAS,KVB,11,100,100,100,100,G4,1574,0,9.09,
"Liander N.V.","GAS Liander",,"Kromme Waal",1011BS,1011BS,AMSTERDAM,NL,GAS,KVB,28,100,75,100,71,G4,1985,0,46.43,
"Liander N.V.","Liander N.V. (NW)",,"Kromme Waal",1011BS,1011BS,AMSTERDAM,NL,ELK,KVB,29,100,79.31,100,62,3x25,2753,48.28,44.83,1.2
"Liander N.V.","Liander N.V. (NW)",,"Kromme Waal",1011BT,1011BT,AMSTERDAM,NL,ELK,KVB,31,96.77,93.55,100,48,3x25,2314,45.16,45.16,1.1
"Liander N.V.","GAS Liander",,"Kromme Waal",1011BT,1011BT,AMSTERDAM,NL,GAS,KVB,27,100,96.3,100,89,G4,1499,0,44.44,
,"Liander N.V. (NW)",,"Kromme Waal",1011BV,1011BV,AMSTERDAM,NL,ELK,KVB,23,100,65.22,100,61,3x25,2324,56.52,52.17,1
,"GAS Liander",,"Kromme Waal",1011BV,1011BV,AMSTERDAM,NL,GAS,KVB,21,100,66.67,100,67,G4,1635,0,57.14,
,"Liander N.V. (NW)",,"Kromme Waal",1011BW,1011BW,AMSTERDAM,NL,ELK,KVB,33,100,96.97,100,64,1x25,2256,72.73,72.73,1
,"GAS Liander",,"Kromme Waal",1011BW,1011BW,AMSTERDAM,NL,GAS,KVB,27,100,100,100,100,G4,1016,0,74.07,
,"Liander N.V. (NW)",,"Oude Waal",1011BX,1011BX,AMSTERDAM,NL,ELK,KVB,22,100,100,100,82,1x25,1415,95.45,95.45,1
,"GAS Liander",,"Oude Waal",1011BX,1011BX,AMSTERDAM,NL,GAS,KVB,20,100,100,100,100,G4,946,0,95,
,"GAS Liander",,"Oude Waal",1011BZ,1011BZ,AMSTERDAM,NL,GAS,KVB,25,100,100,100,80,G4,1258,0,84,
"Liander N.V.","Liander N.V. (NW)",,"Oude Waal",1011BZ,1011BZ,AMSTERDAM,NL,ELK,KVB,28,96.43,92.86,100,43,1x25,3662,78.57,78.57,1
"Liander N.V.","Liander N.V. (NW)",,"Oude Waal",1011CA,1011CA,AMSTERDAM,NL,ELK,KVB,37,100,56.76,100,51,3x25,1742,54.05,54.05,1
"Liander N.V.","GAS Liander",,"Oude Waal",1011CA,1011CA,AMSTERDAM,NL,GAS,KVB,24,100,79.17,100,79,G4,1290,0,75,
"Liander N.V.","Liander N.V. (NW)",,"Oude Waal",1011CB,1011CB,AMSTERDAM,NL,ELK,KVB,25,100,80,100,40,1x35,2183,72,76,1
,"GAS Liander",,"Oude Waal",1011CB,1011CB,AMSTERDAM,NL,GAS,KVB,18,100,94.44,100,100,G4,1435,0,94.44,
,"GAS Liander",,"Oude Waal",1011CC,1011CC,AMSTERDAM,NL,GAS,KVB,19,100,89.47,100,95,G4,1588,0,52.63,
,"Liander N.V. (NW)",,"Oude Waal",1011CC,1011CC,AMSTERDAM,NL,ELK,KVB,21,100,90.48,100,48,1x25,2038,61.9,57.14,1
,"GAS Liander",,"Oude Waal",1011CD,1011CD,AMSTERDAM,NL,GAS,KVB,16,100,100,100,94,G4,1326,0,93.75,
"Liander N.V.","Liander N.V. (NW)",,"Recht Boomssloot  94 to",1011CD,1011CD,AMSTERDAM,NL,ELK,KVB,19,100,94.74,100,63,1x25,2268,89.47,89.47,1
,"GAS Liander",,"Oude Waal",1011CE,1011CH,AMSTERDAM,NL,GAS,KVB,34,100,97.06,100,88,G4,2161,0,23.53,
"Liander N.V.","Liander N.V. (NW)",,"Oude Waal",1011CE,1011CE,AMSTERDAM,NL,ELK,KVB,12,83.33,75,100,42,3x25,2916,50,58.33,1.5
"Liander N.V.","Liander N.V. (NW)",,"Oude Waal AB",1011CG,1011CH,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,36,1x35,10508,17.86,3.57,1.2
,"Liander N.V. (NW)",,"Binnen Bantammerstraat",1011CJ,1011CJ,AMSTERDAM,NL,ELK,KVB,16,100,100,100,75,1x25,7148,18.75,6.25,1.1
,"GAS Liander",,"Binnen Bantammerstraat",1011CJ,1011CJ,AMSTERDAM,NL,GAS,KVB,15,100,100,100,100,G4,1196,0,6.67,
,"GAS Liander",,"Binnen Bantammerstraat",1011CK,1011CK,AMSTERDAM,NL,GAS,KVB,12,100,100,100,100,G4,1273,0,8.33,
,"Liander N.V. (NW)",,"Binnen Bantammerstraat",1011CK,1011CK,AMSTERDAM,NL,ELK,KVB,14,100,100,100,79,1x25,2400,7.14,7.14,1
"Liander N.V.","GAS Liander",,"Binnen Bantammerstraat",1011CL,1011CM,AMSTERDAM,NL,GAS,KVB,68,100,91.18,100,94,G4,1154,0,42.65,
,"Liander N.V. (NW)",,"Binnen Bantammerstraat",1011CL,1011CL,AMSTERDAM,NL,ELK,KVB,10,100,100,100,80,1x25,1647,0,0,1
"Liander N.V.","Liander N.V. (NW)",,"Nieuwe Jonkerstraat",1011CM,1011CM,AMSTERDAM,NL,ELK,KVB,72,100,81.94,100,35,3x25,2537,48.61,45.83,1
,"GAS Liander",,"Nieuwe Ridderstraat",1011CN,1011CN,AMSTERDAM,NL,GAS,KVB,10,100,90,100,90,G4,2422,0,60,
,"Liander N.V. (NW)",,"Nieuwe Ridderstraat",1011CN,1011CN,AMSTERDAM,NL,ELK,KVB,13,100,84.62,100,54,3x25,4510,61.54,46.15,1.2
"Liander N.V.","Liander N.V. (NW)",,"Nieuwe Ridderstraat",1011CP,1011CR,AMSTERDAM,NL,ELK,KVB,21,100,95.24,100,57,1x25,2100,19.05,14.29,1.1
,"GAS Liander",,"Nieuwe Ridderstraat",1011CP,1011CR,AMSTERDAM,NL,GAS,KVB,16,100,100,100,88,G4,2090,0,12.5,
,"Liander N.V. (NW)",,"Recht Boomssloot",1011CS,1011CS,AMSTERDAM,NL,ELK,KVB,26,100,96.15,100,69,1x25,1842,0,0,1
,"GAS Liander",,"Recht Boomssloot",1011CS,1011CS,AMSTERDAM,NL,GAS,KVB,22,100,100,100,86,G4,1391,0,0,
"Liander N.V.","GAS Liander",,"Recht Boomssloot",1011CT,1011CT,AMSTERDAM,NL,GAS,KVB,17,100,94.12,100,100,G4,1293,0,0,
"Liander N.V.","Liander N.V. (NW)",,"Recht Boomssloot",1011CT,1011CT,AMSTERDAM,NL,ELK,KVB,18,100,88.89,100,44,1x25,2527,0,0,1
,"GAS Liander",,"Recht Boomssloot",1011CV,1011CV,AMSTERDAM,NL,GAS,KVB,18,100,94.44,100,100,G4,1241,0,5.56,
,"Liander N.V. (NW)",,"Recht Boomssloot",1011CV,1011CV,AMSTERDAM,NL,ELK,KVB,19,100,100,100,58,1x25,1532,26.32,26.32,1.1
,"GAS Liander",,"Recht Boomssloot",1011CW,1011CW,AMSTERDAM,NL,GAS,KVB,13,100,100,100,100,G4,1050,0,0,
,"Liander N.V. (NW)",,"Recht Boomssloot",1011CW,1011CW,AMSTERDAM,NL,ELK,KVB,15,100,93.33,100,53,1x25,2316,0,0,1
,"GAS Liander",,"Recht Boomssloot",1011CX,1011CX,AMSTERDAM,NL,GAS,KVB,19,100,100,100,95,G4,1047,0,5.26,
,"Liander N.V. (NW)",,"Recht Boomssloot",1011CX,1011CX,AMSTERDAM,NL,ELK,KVB,19,100,100,100,68,1x25,2550,5.26,5.26,1
,"Liander N.V. (NW)",,"Recht Boomssloot",1011CZ,1011CZ,AMSTERDAM,NL,ELK,KVB,22,81.82,86.36,100,59,1x25,2311,22.73,22.73,1.1
,"GAS Liander",,"Recht Boomssloot",1011CZ,1011CZ,AMSTERDAM,NL,GAS,KVB,19,100,100,100,95,G4,1248,0,26.32,
,"Liander N.V. (NW)",,Lastageweg,1011DB,1011DB,AMSTERDAM,NL,ELK,KVB,10,100,100,100,90,1x25,4490,10,0,1.1
,"GAS Liander",,Lastageweg,1011DB,1011DD,AMSTERDAM,NL,GAS,KVB,109,100,97.25,100,98,G4,887,0,88.99,
,"Liander N.V. (NW)",,"J.W. Siebbeleshof",1011DC,1011DD,AMSTERDAM,NL,ELK,KVB,126,100,97.62,100,90,1x35,4110,97.62,96.83,2
,"Liander N.V. (NW)",,"W Frederik Hermansstr",1011DG,1011DG,AMSTERDAM,NL,ELK,KVB,87,100,98.85,100,93,1x35,3374,100,98.85,
