MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,,longitude,latitude
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot  94 to,1011CD,1011CD,AMSTERDAM,NL,ELK,KVB,17,100,94.12,100,76,1x25,2064,0,0,1,52.3723315,4.904941455
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CE,1011CE,AMSTERDAM,NL,ELK,KVB,11,100,90.91,100,55,1x25,3146,0,0,1.3,52.37218959,4.905207416
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal AB,1011CG,1011CH,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,64,3x25,10749,14.29,0,1.7,52.37389867,4.902160766
Liander N.V.,Liander N.V. (NW),Liander NW,Binnen Bantammerstraat,1011CJ,1011CJ,AMSTERDAM,NL,ELK,KVB,16,100,100,100,81,1x25,5609,12.5,0,1.5,52.37370669,4.902599093
Liander N.V.,Liander N.V. (NW),Liander NW,Binnen Bantammerstraat,1011CK,1011CK,AMSTERDAM,NL,ELK,KVB,14,100,100,100,86,1x25,2205,0,0,1.1,52.37386467,4.901876154
Liander N.V.,Liander N.V. (NW),Liander NW,Binnen Bantammerstraat,1011CL,1011CL,AMSTERDAM,NL,ELK,KVB,10,100,100,100,80,1x25,1931,0,0,1.2,52.37369088,4.902355311
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Jonkerstraat,1011CM,1011CM,AMSTERDAM,NL,ELK,KVB,63,100,82.54,100,41,3x25,2413,4.76,0,2.5,52.37342669,4.902533036
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Ridderstraat,1011CN,1011CR,AMSTERDAM,NL,ELK,KVB,27,100,92.59,100,52,1x25,3774,7.41,0,1.6,52.37320833,4.90195339
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CS,1011CS,AMSTERDAM,NL,ELK,KVB,26,100,100,100,69,1x25,1878,0,0,1.2,52.37286682,4.902553748
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CT,1011CT,AMSTERDAM,NL,ELK,KVB,18,100,94.44,100,44,1x25,2691,0,0,1.9,52.37266197,4.902933583
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CV,1011CV,AMSTERDAM,NL,ELK,KVB,18,100,100,100,83,1x25,2178,5.56,0,1.2,52.37247171,4.90324394
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CW,1011CW,AMSTERDAM,NL,ELK,KVB,15,100,100,100,53,1x25,2211,0,0,1.8,52.37222815,4.90370451
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CX,1011CX,AMSTERDAM,NL,ELK,KVB,18,100,100,100,72,1x25,2667,0,0,1.6,52.37205136,4.904003181
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CZ,1011CZ,AMSTERDAM,NL,ELK,KVB,20,100,95,100,50,1x25,2473,0,0,2.2,52.37187984,4.904307706
Liander N.V.,Liander N.V. (NW),Liander NW,Lastageweg,1011DB,1011DB,AMSTERDAM,NL,ELK,KVB,10,100,100,100,90,1x25,4829,10,0,1,52.37337661,4.902673651
Liander N.V.,Liander N.V. (NW),Liander NW,J.W. Siebbeleshof,1011DC,1011EA,AMSTERDAM,NL,ELK,KVB,56,100,82.14,100,64,1x25,2873,8.93,0,1.3,52.37290194,4.901847834
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011EB,1011EB,AMSTERDAM,NL,ELK,KVB,24,100,100,100,88,1x25,1617,0,0,1,52.3725743,4.902437805
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011EC,1011EC,AMSTERDAM,NL,ELK,KVB,19,100,89.47,100,47,1x25,6403,21.05,0,1.6,52.37217795,4.90315274
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011ED,1011ED,AMSTERDAM,NL,ELK,KVB,14,100,100,100,86,1x25,2371,0,0,1,52.37170905,4.904027994
Liander N.V.,Liander N.V. (NW),Liander NW,Montelbaanstraat,1011EE,1011EE,AMSTERDAM,NL,ELK,KVB,16,100,100,100,100,1x25,1968,0,0,1,52.37261827,4.904047177
Liander N.V.,Liander N.V. (NW),Liander NW,Montelbaanstraat,1011EG,1011EG,AMSTERDAM,NL,ELK,KVB,22,100,90.91,100,82,1x25,1748,0,0,1.6,52.37251009,4.903791232
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EH,1011EH,AMSTERDAM,NL,ELK,KVB,37,100,97.3,100,76,1x25,3172,8.11,0,1.4,52.37578351,4.902564733
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EJ,1011EJ,AMSTERDAM,NL,ELK,KVB,45,100,88.89,100,42,1x25,5347,6.67,0,2,52.37535241,4.902367974
Liander N.V.,Liander N.V. (NW),Liander NW,geldersekd,1011EK,1011EK,AMSTERDAM,NL,ELK,KVB,26,100,96.15,100,58,1x25,6288,7.69,0,1.5,52.3749223,4.902147963
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EL,1011EL,AMSTERDAM,NL,ELK,KVB,47,100,87.23,100,57,1x25,3284,12.77,0,1.3,52.37429448,4.901824864
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EM,1011EM,AMSTERDAM,NL,ELK,KVB,23,100,91.3,100,48,1x25,6163,8.7,0,1.3,52.37366795,4.901512004
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EN,1011EN,AMSTERDAM,NL,ELK,KVB,30,100,96.67,100,70,1x25,7494,16.67,0,1.3,52.37303527,4.901232117
Liander N.V.,Liander N.V. (NW),Liander NW,Waalsteeg,1011ER,1011ER,AMSTERDAM,NL,ELK,KVB,10,100,100,100,40,1x25,3728,0,0,1.7,52.37414528,4.902232307
Liander N.V.,Liander N.V. (NW),Liander NW,Koningsstraat,1011ES,1011ET,AMSTERDAM,NL,ELK,KVB,42,100,97.62,100,57,1x25,5078,14.29,0,2.3,52.37233965,4.902061078
Liander N.V.,Liander N.V. (NW),Liander NW,Koningsstraat,1011EV,1011EW,AMSTERDAM,NL,ELK,KVB,47,100,100,100,53,3x25,3784,4.26,0,2.3,52.37229746,4.901779633
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Koningsstraat,1011EX,1011EX,AMSTERDAM,NL,ELK,KVB,27,100,100,100,63,1x25,1918,7.41,0,2.2,52.37182539,4.902999383
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Koningsstraat,1011EZ,1011EZ,AMSTERDAM,NL,ELK,KVB,13,100,69.23,100,54,3x25,2032,0,0,1.8,52.37150059,4.903538067
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Koningsstraat,1011GA,1011GA,AMSTERDAM,NL,ELK,KVB,28,100,89.29,100,75,1x25,2384,14.29,0,1.2,52.37167099,4.90299045
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Koningsdwarsstraat,1011GB,1011GC,AMSTERDAM,NL,ELK,KVB,21,100,76.19,100,48,1x25,1903,0,0,2.3,52.37174529,4.903445721
Liander N.V.,Liander N.V. (NW),Liander NW,Keizersstraat,1011GD,1011GD,AMSTERDAM,NL,ELK,KVB,52,100,98.08,100,56,1x35,2800,1.92,0,1.4,52.3718519,4.901566999
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Keizersstraat,1011GG,1011GG,AMSTERDAM,NL,ELK,KVB,22,100,100,100,86,1x25,1451,4.55,0,1.7,52.37132243,4.902797245
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Keizersstraat,1011GH,1011GH,AMSTERDAM,NL,ELK,KVB,24,100,100,100,67,1x25,1340,0,0,1.3,52.37122178,4.902693459
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Keizersdwarsstraat,1011GJ,1011GJ,AMSTERDAM,NL,ELK,KVB,18,100,100,100,78,1x25,2114,0,0,2.7,52.3714535,4.902967643
Liander N.V.,Liander N.V. (NW),Liander NW,Kleersloot,1011GK,1011GL,AMSTERDAM,NL,ELK,KVB,91,100,95.6,100,62,1x25,1934,3.3,0,1.6,52.37135638,4.901377421
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Dijkstraat,1011GM,1011GM,AMSTERDAM,NL,ELK,KVB,21,100,95.24,100,86,1x25,2176,4.76,0,1.2,52.3707685,4.901845351
Liander N.V.,Liander N.V. (NW),Liander NW,Brandewijnsteeg,1011GN,1011GN,AMSTERDAM,NL,ELK,KVB,26,100,100,100,96,1x25,1654,3.85,0,1.5,52.37276316,4.901708458
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GP,1011GP,AMSTERDAM,NL,ELK,KVB,13,100,100,100,77,1x25,1263,0,0,1.2,52.37217031,4.902824347
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GR,1011GR,AMSTERDAM,NL,ELK,KVB,33,100,100,100,64,3x25,2134,9.09,0,2.8,52.37173586,4.90263138
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GR,1011GR,AMSTERDAM,NL,ELK,KVB,33,100,100,100,64,3x25,2134,9.09,0,2.8,52.37173586,4.90263138,52.35378503,4.91194725
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GS,1011GS,AMSTERDAM,NL,ELK,KVB,42,100,95.24,100,40,1x25,3958,11.9,0,2.2,52.37115834,4.902218624
