MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,,longitude,latitude
Liander N.V.,Liander N.V. (NW),Liander NW,Binnen Bantammerstraat,1011CL,1011CL,AMSTERDAM,NL,ELK,KVB,10,100,100,100,100,3x25,2034,0,0,1.2,52.37369088,4.902355311
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Jonkerstraat,1011CM,1011CM,AMSTERDAM,NL,ELK,KVB,63,100,63.49,100,89,3x25,2588,1.59,0,2,52.37342669,4.902533036
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Ridderstraat,1011CN,1011CR,AMSTERDAM,NL,ELK,KVB,26,100,88.46,100,85,3x25,4121,7.69,0,1.3,52.37320833,4.90195339
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CS,1011CS,AMSTERDAM,NL,ELK,KVB,26,100,100,100,100,3x25,1984,3.85,0,1.2,52.37286682,4.902553748
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CT,1011CT,AMSTERDAM,NL,ELK,KVB,18,100,100,100,100,3x25,2130,0,0,1.4,52.37266197,4.902933583
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CV,1011CV,AMSTERDAM,NL,ELK,KVB,18,100,100,100,100,3x25,2230,5.56,0,1.2,52.37247171,4.90324394
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CW,1011CW,AMSTERDAM,NL,ELK,KVB,14,100,100,100,86,3x25,2870,7.14,0,1.2,52.37222815,4.90370451
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CX,1011CX,AMSTERDAM,NL,ELK,KVB,17,100,100,100,100,3x25,2891,0,0,1.3,52.37205136,4.904003181
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011CZ,1011CZ,AMSTERDAM,NL,ELK,KVB,20,100,95,100,95,3x25,2476,0,0,1.1,52.37187984,4.904307706
Liander N.V.,Liander N.V. (NW),Liander NW,Lastageweg,1011DB,1011DB,AMSTERDAM,NL,ELK,KVB,10,100,100,100,90,3x25,5049,10,0,1,52.37337661,4.902673651
Liander N.V.,Liander N.V. (NW),Liander NW,J.W. Siebbeleshof,1011DC,1011EA,AMSTERDAM,NL,ELK,KVB,55,100,80,100,91,3x25,3044,7.27,0,1.3,52.37290194,4.901847834
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011EB,1011EB,AMSTERDAM,NL,ELK,KVB,24,100,100,100,100,3x25,1755,0,0,1,52.3725743,4.902437805
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011EC,1011EC,AMSTERDAM,NL,ELK,KVB,19,100,89.47,100,89,3x25,6555,15.79,0,1.5,52.37217795,4.90315274
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011ED,1011ED,AMSTERDAM,NL,ELK,KVB,14,100,100,100,100,3x25,2455,0,0,1,52.37170905,4.904027994
Liander N.V.,Liander N.V. (NW),Liander NW,Montelbaanstraat,1011EE,1011EE,AMSTERDAM,NL,ELK,KVB,16,100,100,100,100,3x25,2084,0,0,1,52.37261827,4.904047177
Liander N.V.,Liander N.V. (NW),Liander NW,Montelbaanstraat,1011EG,1011EG,AMSTERDAM,NL,ELK,KVB,21,100,95.24,100,100,3x25,1316,0,0,1.6,52.37251009,4.903791232
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EH,1011EH,AMSTERDAM,NL,ELK,KVB,36,100,94.44,100,97,3x25,2883,5.56,0,1.4,52.37578351,4.902564733
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EJ,1011EJ,AMSTERDAM,NL,ELK,KVB,45,100,88.89,100,98,3x25,5680,6.67,0,2,52.37535241,4.902367974
Liander N.V.,Liander N.V. (NW),Liander NW,geldersekd,1011EK,1011EK,AMSTERDAM,NL,ELK,KVB,26,100,96.15,100,92,3x25,6200,11.54,0,1.5,52.3749223,4.902147963
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EL,1011EL,AMSTERDAM,NL,ELK,KVB,44,100,97.73,100,100,3x25,3147,9.09,0,1.2,52.37429448,4.901824864
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EM,1011EM,AMSTERDAM,NL,ELK,KVB,23,100,91.3,100,87,3x25,6264,13.04,0,1.3,52.37366795,4.901512004
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EN,1011EN,AMSTERDAM,NL,ELK,KVB,30,100,96.67,100,93,3x25,7238,16.67,0,1.3,52.37303527,4.901232117
Liander N.V.,Liander N.V. (NW),Liander NW,Waalsteeg,1011ER,1011ER,AMSTERDAM,NL,ELK,KVB,10,100,100,100,90,3x25,3831,0,0,1.4,52.37414528,4.902232307
Liander N.V.,Liander N.V. (NW),Liander NW,Koningsstraat,1011ES,1011ET,AMSTERDAM,NL,ELK,KVB,42,100,97.62,100,93,3x25,5144,11.9,0,2.2,52.37233965,4.902061078
Liander N.V.,Liander N.V. (NW),Liander NW,Koningsstraat,1011EV,1011EW,AMSTERDAM,NL,ELK,KVB,47,100,97.87,100,96,3x25,4121,4.26,0,2.1,52.37229746,4.901779633
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Koningsstraat,1011EX,1011EX,AMSTERDAM,NL,ELK,KVB,27,100,100,100,96,3x25,2222,3.7,0,1.4,52.37182539,4.902999383
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Koningsstraat,1011EZ,1011EZ,AMSTERDAM,NL,ELK,KVB,13,100,69.23,100,100,3x25,1977,0,0,1.8,52.37150059,4.903538067
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Koningsstraat,1011GA,1011GA,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,93,3x25,2277,10.71,0,1.2,52.37167099,4.90299045
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Koningsdwarsstraat,1011GB,1011GC,AMSTERDAM,NL,ELK,KVB,21,100,76.19,100,95,3x25,1902,0,0,1.8,52.37174529,4.903445721
Liander N.V.,Liander N.V. (NW),Liander NW,Keizersstraat,1011GD,1011GD,AMSTERDAM,NL,ELK,KVB,52,100,98.08,100,98,3x25,2675,1.92,0,1.2,52.3718519,4.901566999
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Keizersstraat,1011GG,1011GG,AMSTERDAM,NL,ELK,KVB,22,100,100,100,100,3x25,1290,4.55,0,1.2,52.37132243,4.902797245
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Keizersstraat,1011GH,1011GH,AMSTERDAM,NL,ELK,KVB,24,100,100,100,100,3x25,1396,0,0,1.2,52.37122178,4.902693459
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Keizersdwarsstraat,1011GJ,1011GJ,AMSTERDAM,NL,ELK,KVB,18,100,100,100,100,3x25,1782,0,0,1.9,52.3714535,4.902967643
Liander N.V.,Liander N.V. (NW),Liander NW,Kleersloot,1011GK,1011GL,AMSTERDAM,NL,ELK,KVB,91,100,96.7,100,97,3x25,1988,3.3,0,1.4,52.37135638,4.901377421
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Dijkstraat,1011GM,1011GM,AMSTERDAM,NL,ELK,KVB,21,100,95.24,100,95,3x25,2057,4.76,0,1.2,52.3707685,4.901845351
Liander N.V.,Liander N.V. (NW),Liander NW,Brandewijnsteeg,1011GN,1011GN,AMSTERDAM,NL,ELK,KVB,26,100,100,100,96,3x25,1769,3.85,0,1.5,52.37276316,4.901708458
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GP,1011GP,AMSTERDAM,NL,ELK,KVB,13,100,100,100,100,3x25,1236,0,0,1,52.37217031,4.902824347
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GR,1011GR,AMSTERDAM,NL,ELK,KVB,33,100,100,100,97,3x25,2102,12.12,0,2.4,52.37173586,4.90263138
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GR,1011GR,AMSTERDAM,NL,ELK,KVB,33,100,100,100,97,3x25,2102,12.12,0,2.4,52.37173586,4.90263138,52.35378503,4.91194725
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GS,1011GS,AMSTERDAM,NL,ELK,KVB,42,100,95.24,100,93,3x25,3774,11.9,0,2.2,52.37115834,4.902218624
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GT,1011GT,AMSTERDAM,NL,ELK,KVB,13,100,100,100,92,3x25,2218,7.69,0,1.2,52.37077092,4.901538014
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GV,1011GV,AMSTERDAM,NL,ELK,KVB,20,100,85,100,100,3x25,1554,10,0,1.8,52.37235298,4.902470767
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GW,1011GW,AMSTERDAM,NL,ELK,KVB,13,100,92.31,100,77,3x25,7161,7.69,0,1.5,52.37192432,4.902222185
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GX,1011GX,AMSTERDAM,NL,ELK,KVB,17,100,100,100,100,3x25,1583,0,0,1,52.3713856,4.901931423
Liander N.V.,Liander N.V. (NW),Liander NW,Snoekjesgracht,1011GZ,1011GZ,AMSTERDAM,NL,ELK,KVB,38,100,100,100,97,3x25,1597,5.26,0,1,52.37037986,4.901284899
Liander N.V.,Liander N.V. (NW),Liander NW,Snoekjesgracht  ab,1011HA,1011HB,AMSTERDAM,NL,ELK,KVB,224,100,99.55,100,97,3x25,4275,8.04,0,1.6,52.37097709,4.900645513
