MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,
Liander N.V.,Liander N.V. (NW),Liander NW,Recht Boomssloot,1011ED,1011ED,AMSTERDAM,NL,ELK,KVB,14,100,100,100,86,1x25,2262,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Montelbaanstraat,1011EE,1011EE,AMSTERDAM,NL,ELK,KVB,16,100,100,100,100,1x25,1931,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Montelbaanstraat,1011EG,1011EG,AMSTERDAM,NL,ELK,KVB,22,100,95.45,100,82,1x25,1712,0,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EH,1011EH,AMSTERDAM,NL,ELK,KVB,38,100,97.37,100,74,1x25,3531,18.42,13.16,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EJ,1011EJ,AMSTERDAM,NL,ELK,KVB,46,100,91.3,100,41,1x25,5486,6.52,2.17,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,geldersekd,1011EK,1011EK,AMSTERDAM,NL,ELK,KVB,27,100,96.3,100,56,1x25,5868,7.41,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EL,1011EL,AMSTERDAM,NL,ELK,KVB,47,100,87.23,100,57,1x25,3957,12.77,2.13,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EM,1011EM,AMSTERDAM,NL,ELK,KVB,23,100,91.3,100,48,1x25,5690,8.7,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Geldersekade,1011EN,1011EN,AMSTERDAM,NL,ELK,KVB,30,100,96.67,100,70,1x25,7524,16.67,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Waalsteeg,1011ER,1011ER,AMSTERDAM,NL,ELK,KVB,10,100,100,100,40,1x25,3952,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Koningsstraat,1011ES,1011ET,AMSTERDAM,NL,ELK,KVB,42,100,100,100,57,1x25,4565,16.67,2.38,1.5
Liander N.V.,Liander N.V. (NW),Liander NW,Koningsstraat,1011EV,1011EW,AMSTERDAM,NL,ELK,KVB,47,100,100,100,53,3x25,3718,4.26,2.13,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Koningsstraat,1011EX,1011EX,AMSTERDAM,NL,ELK,KVB,27,100,100,100,63,1x25,2416,7.41,3.7,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Koningsstraat,1011EZ,1011EZ,AMSTERDAM,NL,ELK,KVB,13,100,69.23,100,54,3x25,1689,0,0,1.3
